Alter;Geschlecht;Größe;Gewicht;Alkohol;Fastfood;Gemüse;Hauptmahlzeiten;Kalorienzählen;Rauchen;Wasser;Familie;Aktivität;Bildschirmzeit;Zwischenmahlzeit;Transportmittel;Gewichtsklasse
22;m;1,65;62;manchmal;ja;2;4;nein;nein;2;nein;2;0;häufig;ÖPV;Normalgewicht
21;w;1,5;65;manchmal;nein;2;3;nein;nein;2;ja;2;2;manchmal;ÖPV;Übergewicht_II
22;w;1,56;49;nie;ja;2;3;ja;nein;1;nein;2;0;manchmal;Fuss;Normalgewicht
21;w;1,6;48;manchmal;ja;2;3;nein;nein;1;nein;1;0;manchmal;ÖPV;Normalgewicht
23;m;1,65;67;manchmal;ja;2;3;nein;nein;2;ja;1;1;manchmal;ÖPV;Normalgewicht
21;w;1,75;88;manchmal;ja;2;3;nein;nein;3;ja;3;0;manchmal;ÖPV;Übergewicht_II
21;w;1,67;75;manchmal;ja;2;3;nein;nein;2;ja;1;0;manchmal;ÖPV;Übergewicht_I
23;m;1,68;60;nie;nein;2;4;nein;nein;2;nein;0;0;häufig;Fuss;Normalgewicht
21;w;1,66;64;nie;ja;1;3;nein;nein;1;ja;0;0;manchmal;ÖPV;Normalgewicht
21;m;1,66;62;häufig;ja;2;3;nein;ja;2;ja;1;1;manchmal;ÖPV;Normalgewicht
21;m;1,81;80;nie;nein;1;3;nein;nein;2;nein;2;0;nie;ÖPV;Normalgewicht
21;w;1,53;65;nie;nein;2;3;nein;nein;1;ja;0;1;manchmal;ÖPV;Übergewicht_II
21;m;1,82;72;manchmal;ja;1;3;nein;nein;3;ja;2;0;häufig;ÖPV;Normalgewicht
21;m;1,75;72;manchmal;ja;1;3;nein;nein;3;ja;2;0;häufig;ÖPV;Normalgewicht
20;w;1,66;60;manchmal;nein;3;3;nein;nein;2;ja;1;0;manchmal;Fuss;Normalgewicht
21;w;1,55;50;manchmal;ja;2;3;nein;nein;2;nein;0;0;manchmal;ÖPV;Normalgewicht
21;w;1,61;54,5;manchmal;ja;3;3;nein;nein;3;ja;0;1;manchmal;Fuss;Normalgewicht
20;w;1,5;44;manchmal;ja;2;3;nein;nein;1;nein;0;0;manchmal;PKW;Normalgewicht
23;w;1,64;52;nie;ja;3;1;nein;nein;2;nein;2;2;manchmal;ÖPV;Normalgewicht
23;w;1,63;55;nie;nein;3;3;ja;nein;2;ja;2;1;nie;ÖPV;Normalgewicht
22;w;1,6;55;nie;nein;3;4;nein;nein;3;nein;2;0;täglich;ÖPV;Normalgewicht
23;m;1,68;62;manchmal;nein;2;4;nein;nein;2;nein;0;0;häufig;PKW;Normalgewicht
22;m;1,7;70;manchmal;ja;2;3;nein;nein;1;ja;0;1;manchmal;PKW;Normalgewicht
21;m;1,64;65;nie;nein;2;3;nein;nein;1;ja;0;1;manchmal;ÖPV;Normalgewicht
17;w;1,65;67;nie;ja;3;1;nein;nein;2;ja;1;1;manchmal;Fuss;Normalgewicht
20;m;1,76;55;nie;ja;2;4;nein;nein;3;ja;2;2;manchmal;ÖPV;Untergewicht
21;w;1,55;49;manchmal;ja;2;3;nein;nein;3;ja;3;1;manchmal;ÖPV;Normalgewicht
20;m;1,65;58;manchmal;ja;2;3;nein;nein;2;nein;3;1;manchmal;ÖPV;Normalgewicht
22;m;1,67;62;manchmal;ja;2;1;nein;nein;2;nein;0;0;nie;ÖPV;Normalgewicht
22;m;1,68;55;manchmal;ja;2;3;nein;nein;2;ja;0;2;manchmal;PKW;Normalgewicht
21;w;1,66;57;nie;ja;2;3;nein;nein;1;ja;1;1;häufig;ÖPV;Normalgewicht
21;w;1,62;69;nie;ja;1;3;nein;nein;2;ja;0;1;häufig;ÖPV;Übergewicht_I
23;m;1,8;90;häufig;ja;1;3;nein;nein;2;ja;0;2;täglich;ÖPV;Übergewicht_II
23;m;1,65;95;häufig;ja;2;3;nein;nein;2;ja;0;1;täglich;PKW;Adipositas_I
30;m;1,76;112;häufig;ja;1;3;ja;ja;2;ja;0;0;nie;PKW;Adipositas_II
23;m;1,8;60;manchmal;nein;2;3;nein;nein;3;ja;0;1;nie;ÖPV;Normalgewicht
23;w;1,65;80;nie;ja;2;3;nein;nein;2;ja;0;2;täglich;ÖPV;Übergewicht_II
22;w;1,67;50;manchmal;nein;3;3;ja;nein;3;ja;2;1;nie;ÖPV;Untergewicht
24;w;1,65;60;nie;nein;2;3;ja;nein;3;ja;1;0;manchmal;ÖPV;Normalgewicht
19;m;1,85;65;manchmal;nein;2;3;nein;nein;3;ja;2;1;manchmal;Fahrrad;Normalgewicht
24;m;1,7;85;häufig;ja;2;3;nein;nein;3;ja;0;1;häufig;ÖPV;Übergewicht_II
23;w;1,63;45;nie;nein;3;3;ja;nein;3;ja;2;0;manchmal;ÖPV;Untergewicht
24;w;1,6;45;nie;nein;2;3;nein;nein;2;ja;1;0;nie;ÖPV;Untergewicht
24;w;1,7;80;nie;ja;2;3;nein;nein;3;ja;0;0;manchmal;ÖPV;Übergewicht_II
23;w;1,65;90;nie;ja;2;3;nein;nein;3;ja;0;1;manchmal;ÖPV;Adipositas_I
23;m;1,65;60;manchmal;nein;2;3;nein;nein;2;ja;0;0;manchmal;ÖPV;Normalgewicht
19;w;1,63;58;nie;nein;3;3;ja;nein;2;nein;0;0;manchmal;ÖPV;Normalgewicht
30;m;1,8;91;manchmal;ja;2;3;nein;nein;2;ja;0;0;häufig;ÖPV;Übergewicht_II
23;m;1,67;85,5;nie;ja;2;3;nein;nein;2;ja;0;1;täglich;ÖPV;Adipositas_I
19;w;1,6;45;nie;nein;3;3;ja;nein;3;nein;2;0;nie;Fuss;Untergewicht
25;m;1,7;83;manchmal;ja;2;3;nein;nein;2;ja;0;1;häufig;ÖPV;Übergewicht_II
23;m;1,65;58,5;nie;nein;2;3;nein;nein;2;ja;0;0;manchmal;ÖPV;Normalgewicht
21;m;1,85;83;nie;ja;2;1;nein;nein;3;ja;1;0;häufig;ÖPV;Normalgewicht
19;m;1,82;87;nie;ja;2;3;nein;nein;2;ja;0;0;manchmal;ÖPV;Übergewicht_I
22;w;1,65;65;nie;ja;2;3;ja;nein;2;ja;1;0;häufig;PKW;Normalgewicht
29;w;1,7;78;häufig;ja;3;3;nein;nein;1;ja;2;1;manchmal;PKW;Übergewicht_II
25;w;1,63;93;nie;nein;3;4;nein;nein;1;nein;2;0;täglich;ÖPV;Adipositas_II
20;w;1,61;64;häufig;nein;3;3;ja;nein;2;ja;0;1;täglich;ÖPV;Normalgewicht
55;m;1,78;84;häufig;nein;3;4;ja;nein;3;ja;3;0;häufig;Fuss;Übergewicht_I
20;w;1,6;57;nie;nein;3;3;nein;nein;2;nein;1;0;täglich;Fuss;Normalgewicht
24;w;1,6;48;nie;ja;3;3;nein;nein;2;nein;2;0;manchmal;ÖPV;Normalgewicht
26;m;1,7;70;häufig;nein;3;1;nein;nein;2;ja;2;0;häufig;ÖPV;Normalgewicht
23;w;1,66;60;manchmal;nein;2;3;nein;nein;2;ja;3;0;manchmal;ÖPV;Normalgewicht
21;w;1,52;42;manchmal;nein;3;1;nein;nein;1;nein;0;0;häufig;ÖPV;Untergewicht
21;w;1,52;42;manchmal;nein;3;1;nein;nein;1;nein;0;0;häufig;ÖPV;Untergewicht
23;m;1,72;70;häufig;nein;2;3;nein;nein;2;nein;3;1;manchmal;ÖPV;Normalgewicht
21;w;1,69;63;manchmal;ja;3;1;nein;nein;1;nein;0;0;manchmal;ÖPV;Normalgewicht
22;m;1,7;66,4;nie;nein;2;3;nein;nein;2;ja;0;0;häufig;ÖPV;Normalgewicht
21;w;1,55;57;manchmal;ja;2;4;ja;nein;2;nein;2;0;häufig;PKW;Normalgewicht
22;w;1,65;58;manchmal;ja;3;4;nein;nein;2;ja;1;0;häufig;ÖPV;Normalgewicht
38;w;1,56;80;manchmal;ja;2;3;nein;nein;2;ja;0;0;manchmal;PKW;Adipositas_I
25;w;1,57;55;manchmal;ja;2;1;nein;nein;2;nein;2;0;manchmal;ÖPV;Normalgewicht
25;w;1,57;55;manchmal;ja;2;1;nein;nein;2;nein;2;0;manchmal;ÖPV;Normalgewicht
22;m;1,88;90;manchmal;ja;2;3;nein;nein;1;ja;0;1;täglich;PKW;Übergewicht_I
22;m;1,75;95;nie;nein;2;3;nein;nein;3;ja;3;2;manchmal;Fuss;Adipositas_I
21;w;1,65;88;nie;ja;3;1;nein;nein;3;ja;2;1;manchmal;ÖPV;Adipositas_I
21;m;1,75;75;manchmal;ja;3;3;nein;nein;2;ja;0;1;manchmal;ÖPV;Normalgewicht
22;w;1,58;58;nie;ja;2;1;nein;nein;1;ja;0;0;manchmal;ÖPV;Normalgewicht
18;w;1,56;51;manchmal;ja;2;4;nein;nein;2;ja;1;0;häufig;ÖPV;Normalgewicht
22;w;1,5;49;nie;nein;2;1;nein;nein;2;ja;3;0;manchmal;Fuss;Normalgewicht
19;w;1,61;62;häufig;ja;3;1;nein;nein;2;ja;1;0;häufig;ÖPV;Normalgewicht
17;w;1,75;57;nie;ja;3;3;nein;nein;2;ja;0;1;häufig;ÖPV;Normalgewicht
15;w;1,65;86;nie;ja;3;3;nein;nein;1;ja;3;2;manchmal;Fuss;Adipositas_I
17;w;1,7;85;nie;nein;2;3;nein;nein;2;ja;1;1;häufig;ÖPV;Übergewicht_II
23;m;1,62;53;manchmal;ja;2;3;nein;nein;2;ja;1;1;manchmal;ÖPV;Normalgewicht
19;w;1,63;76;manchmal;nein;3;3;nein;ja;3;ja;2;1;häufig;PKW;Übergewicht_II
23;w;1,67;75;nie;ja;2;3;nein;ja;2;ja;0;2;häufig;Fuss;Übergewicht_I
23;m;1,87;95;häufig;ja;1;3;nein;nein;2;ja;0;2;häufig;ÖPV;Übergewicht_II
21;m;1,75;50;nie;nein;3;4;nein;nein;1;ja;1;0;häufig;Fuss;Untergewicht
24;m;1,66;67;nie;ja;3;1;nein;nein;2;ja;1;0;manchmal;ÖPV;Normalgewicht
23;m;1,76;90;nie;ja;3;3;nein;nein;1;nein;0;0;manchmal;ÖPV;Übergewicht_II
18;m;1,75;80;häufig;ja;2;3;nein;nein;2;ja;0;0;täglich;ÖPV;Übergewicht_I
19;m;1,67;68;manchmal;ja;2;3;nein;nein;2;nein;1;0;manchmal;ÖPV;Normalgewicht
19;w;1,65;61;manchmal;ja;3;1;ja;nein;3;nein;1;0;manchmal;ÖPV;Normalgewicht
20;m;1,72;70;manchmal;ja;3;3;nein;nein;1;ja;0;0;häufig;ÖPV;Normalgewicht
27;m;1,7;78;häufig;ja;3;3;nein;nein;3;nein;1;1;manchmal;ÖPV;Übergewicht_II
20;w;1,58;53;nie;ja;2;4;nein;nein;2;ja;1;1;häufig;ÖPV;Normalgewicht
23;m;1,62;58;nie;nein;2;3;nein;nein;1;nein;1;0;manchmal;ÖPV;Normalgewicht
19;w;1,65;56;häufig;ja;3;3;ja;ja;3;ja;1;2;häufig;ÖPV;Normalgewicht
61;w;1,65;66;häufig;ja;3;3;nein;nein;2;nein;1;1;täglich;ÖPV;Normalgewicht
30;m;1,77;109;manchmal;ja;3;3;nein;nein;1;ja;2;0;manchmal;PKW;Adipositas_I
24;m;1,7;75;manchmal;ja;2;3;nein;nein;2;ja;1;0;manchmal;PKW;Übergewicht_I
25;m;1,79;72;manchmal;ja;2;3;nein;nein;2;ja;1;1;manchmal;ÖPV;Normalgewicht
44;m;1,6;80;nie;nein;2;3;nein;ja;3;ja;0;0;manchmal;Motorrad;Adipositas_I
31;m;1,76;75;nie;nein;3;3;ja;nein;3;ja;3;0;täglich;Fahrrad;Normalgewicht
25;m;1,7;68;nie;ja;2;3;nein;nein;2;nein;0;1;häufig;ÖPV;Normalgewicht
23;m;1,89;65;manchmal;ja;3;3;nein;nein;3;ja;1;1;häufig;ÖPV;Untergewicht
25;m;1,87;66;häufig;ja;3;3;nein;nein;2;nein;2;0;täglich;ÖPV;Normalgewicht
23;m;1,74;93,5;häufig;ja;2;3;nein;ja;1;nein;1;1;häufig;PKW;Adipositas_I
34;w;1,68;75;manchmal;ja;3;1;nein;nein;1;nein;0;0;manchmal;PKW;Übergewicht_I
22;m;1,61;67;manchmal;nein;2;4;ja;nein;3;ja;2;2;manchmal;ÖPV;Übergewicht_I
21;m;1,62;70;manchmal;ja;2;1;nein;nein;3;nein;1;0;nie;ÖPV;Übergewicht_I
24;w;1,56;51;häufig;nein;3;3;nein;nein;2;nein;2;2;häufig;ÖPV;Normalgewicht
36;w;1,63;80;manchmal;nein;3;3;nein;nein;1;ja;0;0;manchmal;PKW;Adipositas_I
27;w;1,6;61;manchmal;ja;3;3;nein;nein;2;nein;0;0;täglich;PKW;Normalgewicht
32;w;1,67;90;manchmal;ja;3;1;nein;nein;2;ja;2;0;manchmal;PKW;Adipositas_I
25;m;1,78;78;manchmal;ja;2;1;nein;nein;2;ja;2;1;manchmal;ÖPV;Normalgewicht
30;w;1,62;59;manchmal;ja;3;3;nein;nein;2;ja;2;0;manchmal;PKW;Normalgewicht
38;w;1,5;60;manchmal;ja;2;1;nein;ja;2;ja;0;0;täglich;PKW;Übergewicht_I
34;m;1,69;84;nie;nein;2;3;nein;nein;3;ja;2;0;manchmal;PKW;Übergewicht_II
22;m;1,74;94;manchmal;ja;2;3;nein;nein;2;ja;0;0;manchmal;ÖPV;Adipositas_I
31;w;1,68;63;manchmal;ja;3;1;nein;nein;2;ja;1;1;häufig;PKW;Normalgewicht
35;w;1,53;45;nie;nein;3;3;nein;nein;1;ja;0;1;häufig;PKW;Normalgewicht
21;m;1,67;60;manchmal;ja;2;3;nein;nein;2;ja;2;1;häufig;ÖPV;Normalgewicht
40;w;1,55;62;manchmal;nein;3;3;nein;nein;3;ja;0;0;manchmal;PKW;Übergewicht_I
27;m;1,64;78;häufig;ja;2;1;nein;nein;2;ja;0;0;manchmal;PKW;Übergewicht_II
20;m;1,83;72;manchmal;nein;3;3;nein;ja;1;ja;2;1;manchmal;ÖPV;Normalgewicht
55;m;1,65;80;nie;ja;2;3;nein;nein;2;nein;1;0;manchmal;PKW;Übergewicht_II
21;w;1,63;60;manchmal;ja;3;3;nein;ja;2;ja;2;0;täglich;ÖPV;Normalgewicht
25;m;1,89;75;nie;nein;3;3;ja;nein;2;nein;3;0;häufig;ÖPV;Normalgewicht
35;m;1,77;85;manchmal;nein;3;3;nein;nein;3;ja;2;1;häufig;PKW;Übergewicht_II
30;m;1,92;130;manchmal;nein;2;3;nein;ja;1;ja;1;0;manchmal;ÖPV;Adipositas_II
29;w;1,74;72;manchmal;nein;3;3;nein;nein;2;ja;0;0;täglich;PKW;Normalgewicht
20;m;1,65;80;nie;nein;2;3;nein;nein;2;ja;1;2;manchmal;Fuss;Übergewicht_II
22;w;1,73;79;manchmal;ja;2;1;nein;nein;2;ja;1;0;manchmal;ÖPV;Übergewicht_I
45;w;1,63;77;nie;ja;2;3;nein;nein;1;ja;0;0;häufig;PKW;Übergewicht_II
22;m;1,72;82;manchmal;ja;2;1;nein;nein;2;nein;2;1;manchmal;ÖPV;Übergewicht_II
18;m;1,6;58;manchmal;ja;2;3;nein;nein;2;ja;1;0;häufig;ÖPV;Normalgewicht
23;w;1,65;59;manchmal;nein;3;1;nein;nein;2;nein;1;2;manchmal;ÖPV;Normalgewicht
18;m;1,74;64;nie;nein;3;3;ja;nein;2;nein;0;1;manchmal;ÖPV;Normalgewicht
21;m;1,62;70;manchmal;ja;2;1;nein;nein;3;nein;1;0;nie;ÖPV;Übergewicht_I
38;w;1,64;59,8;nie;ja;2;3;nein;nein;2;ja;2;0;manchmal;ÖPV;Normalgewicht
18;w;1,57;48;nie;ja;3;1;nein;nein;1;ja;1;0;täglich;ÖPV;Normalgewicht
22;m;1,84;84;manchmal;ja;3;3;ja;nein;2;ja;3;0;häufig;ÖPV;Normalgewicht
26;m;1,91;84;häufig;ja;3;3;nein;ja;2;ja;2;2;häufig;ÖPV;Normalgewicht
21;m;1,62;70;manchmal;ja;2;1;nein;nein;3;nein;1;0;nie;ÖPV;Übergewicht_I
18;w;1,58;48;nie;ja;2;3;nein;nein;2;nein;1;0;manchmal;ÖPV;Normalgewicht
23;w;1,68;67;manchmal;ja;2;3;nein;nein;1;ja;0;0;häufig;ÖPV;Normalgewicht
22;w;1,68;52;nie;ja;3;3;nein;nein;2;nein;0;1;häufig;ÖPV;Untergewicht
23;w;1,48;60;manchmal;ja;2;1;nein;ja;1;ja;0;0;manchmal;ÖPV;Übergewicht_II
21;m;1,62;70;manchmal;ja;2;1;nein;nein;3;nein;1;0;nie;ÖPV;Übergewicht_I
31;w;1,62;68;manchmal;nein;3;3;nein;nein;2;nein;1;0;manchmal;PKW;Übergewicht_I
39;m;1,78;96;häufig;nein;2;3;nein;nein;3;ja;1;0;manchmal;PKW;Adipositas_I
25;m;1,78;98;nie;nein;2;3;nein;nein;3;ja;3;2;manchmal;ÖPV;Adipositas_I
35;m;1,78;105;häufig;ja;3;1;nein;nein;3;ja;3;1;nie;PKW;Adipositas_I
33;w;1,63;62;nie;ja;2;3;nein;nein;2;ja;1;1;manchmal;ÖPV;Normalgewicht
20;m;1,6;56;manchmal;ja;2;3;nein;nein;2;nein;1;0;manchmal;ÖPV;Normalgewicht
26;m;1,75;80;manchmal;ja;3;1;ja;ja;2;ja;2;0;häufig;ÖPV;Übergewicht_I
20;m;1,83;85;manchmal;nein;3;3;ja;nein;3;ja;3;0;manchmal;PKW;Übergewicht_I
20;m;1,78;68;nie;nein;2;1;ja;nein;3;nein;2;1;häufig;ÖPV;Normalgewicht
23;w;1,6;83;nie;ja;3;3;nein;nein;3;ja;3;0;häufig;ÖPV;Adipositas_I
19;m;1,8;85;manchmal;ja;3;3;nein;nein;2;ja;1;1;manchmal;Fuss;Übergewicht_I
22;m;1,75;74;manchmal;nein;2;3;nein;nein;2;ja;1;2;manchmal;Fahrrad;Normalgewicht
41;m;1,75;118;manchmal;ja;2;3;nein;nein;2;ja;0;0;manchmal;Fahrrad;Adipositas_II
18;w;1,59;40;nie;ja;2;1;nein;nein;1;ja;0;2;häufig;ÖPV;Untergewicht
23;w;1,66;60;manchmal;ja;2;1;nein;nein;1;ja;1;1;manchmal;ÖPV;Normalgewicht
23;w;1,63;83;manchmal;nein;3;1;nein;ja;3;ja;1;2;manchmal;ÖPV;Adipositas_I
41;w;1,54;80;manchmal;ja;2;3;nein;nein;1;ja;0;0;täglich;PKW;Adipositas_I
26;w;1,56;102;manchmal;ja;3;3;nein;ja;1;ja;0;1;manchmal;ÖPV;Adipositas_III
29;m;1,69;90;manchmal;nein;2;3;nein;nein;3;ja;1;0;manchmal;PKW;Adipositas_I
27;m;1,83;71;nie;ja;2;3;nein;nein;2;ja;3;2;manchmal;PKW;Normalgewicht
23;w;1,6;78;häufig;ja;2;1;nein;ja;2;ja;1;0;manchmal;ÖPV;Adipositas_I
19;m;1,75;100;nie;ja;2;3;nein;nein;2;ja;2;0;häufig;ÖPV;Adipositas_I
30;m;1,75;73;manchmal;nein;2;3;ja;nein;2;ja;1;0;nie;Fuss;Normalgewicht
22;w;1,69;65;manchmal;ja;2;3;nein;nein;2;ja;1;1;manchmal;ÖPV;Normalgewicht
22;w;1,69;65;manchmal;ja;2;3;nein;nein;2;ja;1;1;manchmal;ÖPV;Normalgewicht
20;m;1,8;114;nie;ja;2;3;nein;nein;2;ja;0;1;häufig;ÖPV;Adipositas_II
21;w;1,63;51;nie;ja;2;1;nein;nein;1;nein;1;1;manchmal;ÖPV;Normalgewicht
24;w;1,5;63;nie;nein;2;1;nein;nein;2;ja;0;0;manchmal;ÖPV;Übergewicht_II
21;m;1,8;62;nie;ja;3;3;nein;nein;2;ja;1;0;manchmal;ÖPV;Normalgewicht
21;m;1,65;53;manchmal;ja;2;3;nein;nein;2;ja;1;0;manchmal;ÖPV;Normalgewicht
21;m;1,68;70;manchmal;ja;3;3;nein;nein;3;ja;0;2;manchmal;ÖPV;Normalgewicht
23;w;1,6;63;manchmal;nein;3;3;nein;nein;2;ja;3;0;häufig;Fuss;Normalgewicht
21;m;1,71;75;häufig;nein;2;3;ja;nein;3;nein;3;1;häufig;PKW;Übergewicht_I
21;w;1,5;42,3;nie;nein;1;1;nein;nein;2;ja;3;0;manchmal;ÖPV;Normalgewicht
21;w;1,6;68;manchmal;ja;2;3;nein;nein;3;ja;1;0;manchmal;ÖPV;Übergewicht_I
21;w;1,75;78;häufig;nein;2;3;ja;nein;2;ja;0;2;häufig;ÖPV;Übergewicht_I
23;m;1,72;82;manchmal;ja;2;1;nein;nein;1;ja;1;1;manchmal;ÖPV;Übergewicht_II
21;w;1,72;66,5;nie;ja;3;4;nein;nein;3;ja;0;2;täglich;ÖPV;Normalgewicht
22;w;1,61;63;nie;ja;3;3;nein;nein;3;ja;1;0;häufig;ÖPV;Normalgewicht
23;w;1,63;82;nie;ja;2;1;nein;nein;2;ja;0;0;manchmal;ÖPV;Adipositas_I
25;m;1,83;121;manchmal;nein;3;3;nein;nein;3;ja;2;0;manchmal;Fuss;Adipositas_II
20;w;1,6;50;nie;ja;2;3;nein;nein;1;nein;0;1;manchmal;PKW;Normalgewicht
24;w;1,62;58;manchmal;ja;3;3;nein;nein;2;nein;1;1;manchmal;ÖPV;Normalgewicht
40;w;1,68;80;nie;nein;3;3;nein;nein;3;nein;0;0;manchmal;PKW;Übergewicht_II
32;m;1,75;120;nie;nein;3;3;nein;nein;3;ja;0;2;manchmal;PKW;Adipositas_II
20;m;1,9;91;manchmal;ja;3;4;nein;nein;3;ja;2;0;manchmal;Fuss;Übergewicht_I
21;w;1,63;66;manchmal;ja;3;1;nein;ja;3;ja;0;0;manchmal;ÖPV;Normalgewicht
51;w;1,59;50;nie;nein;3;3;ja;ja;3;ja;2;0;manchmal;ÖPV;Normalgewicht
34;w;1,68;77;manchmal;nein;3;1;nein;nein;2;ja;1;0;manchmal;PKW;Übergewicht_II
19;w;1,59;49;nie;ja;2;1;nein;nein;2;ja;2;0;nie;ÖPV;Normalgewicht
19;w;1,69;70;nie;nein;2;1;nein;nein;2;ja;2;0;nie;ÖPV;Normalgewicht
21;w;1,66;59;nie;ja;1;3;ja;nein;2;nein;3;0;täglich;PKW;Normalgewicht
19;w;1,64;53;nie;ja;3;3;nein;nein;1;ja;1;1;manchmal;ÖPV;Normalgewicht
20;w;1,62;53;nie;ja;3;1;nein;nein;3;nein;1;1;manchmal;ÖPV;Normalgewicht
19;w;1,7;64;nie;ja;3;3;ja;nein;3;ja;3;1;nie;ÖPV;Normalgewicht
17;w;1,63;65;nie;ja;2;1;nein;nein;3;nein;1;1;manchmal;ÖPV;Normalgewicht
22;m;1,6;66;nie;ja;3;3;nein;nein;2;nein;3;0;manchmal;Fahrrad;Übergewicht_I
20;w;1,63;64;nie;ja;1;3;nein;nein;2;ja;0;2;täglich;PKW;Normalgewicht
33;m;1,85;99;manchmal;ja;2;3;nein;ja;3;ja;1;0;manchmal;PKW;Übergewicht_II
21;w;1,54;49;manchmal;nein;2;1;ja;nein;2;ja;2;0;manchmal;ÖPV;Normalgewicht
20;w;1,64;49;manchmal;nein;3;3;nein;ja;2;nein;2;1;manchmal;PKW;Untergewicht
20;w;1,57;60;manchmal;ja;3;3;nein;nein;3;nein;0;1;manchmal;ÖPV;Normalgewicht
20;w;1,62;52;nie;ja;3;3;nein;nein;1;nein;3;1;häufig;PKW;Normalgewicht
21;m;1,72;72;manchmal;ja;3;3;ja;nein;3;ja;3;0;täglich;PKW;Normalgewicht
21;m;1,76;78;manchmal;ja;3;1;nein;nein;2;ja;3;0;manchmal;Fuss;Übergewicht_I
20;w;1,65;75;nie;ja;3;1;nein;nein;2;ja;1;1;manchmal;ÖPV;Übergewicht_II
20;m;1,67;78;häufig;nein;2;1;nein;nein;3;ja;0;0;manchmal;PKW;Übergewicht_II
